month,origin,dest,fleet_type,departures,block_hours,ASMs,RPMs,pax,revenue,rasm,fuel_cost,labor_cost,maint_cost,station_cost,total_cost,casm,margin,margin_per_ASM
2023-07,HNL,LAS,838,62,349.1666666666667,29967700.0,29404252.0,10646,3675531.5,0.1226497695852534,863698.21114554,335735.1785698299,197144.66892643247,665646.5655019147,2062224.6241437169,0.0688149115262004,1613306.8758562831,0.053834858059053
2023-07,OGG,LAS,838,62,336.8833333333333,29240750.0,28664020.0,10636,3583002.5,0.1225345622119815,833314.1738369833,325488.81597464,190209.31708878183,665286.8362241675,2014299.1431245725,0.0688867126569794,1568703.3568754275,0.0536478495550021
2023-07,HNL,SAN,838,60,322.6333333333333,27447000.0,26513802.0,10143,3314225.25,0.12075,798065.3924274636,312167.3571037929,182163.556137369,638433.5126243838,1930829.8182930097,0.0703475723500932,1383395.4317069906,0.0504024276499067
2023-07,SAN,HNL,838,61,357.3833333333333,27904450.0,27371194.0,10471,3421399.25,0.1226112412177986,884022.9470927835,341871.97527941625,201783.92056274423,654791.9680379154,2082470.8109728592,0.0746286277268628,1338928.4390271406,0.0479826134909356
2023-07,HNL,SJC,838,59,290.9,24955525.0,24249761.0,10033,3031220.125,0.1214648910411622,719569.8604932816,284979.1454813979,164246.44636954425,629917.1554657413,1798712.607809965,0.0720767288129568,1232507.517190035,0.0493881622282053
2023-07,HNL,OAK,838,61,302.56666666666666,25716075.0,24738021.0,10269,3092252.625,0.1202459016393442,748428.511939672,296145.67056356877,170833.61907830334,647525.4366274216,1862933.238208966,0.0724423629270394,1229319.386791034,0.0478035387123048
2023-07,OGG,SJC,838,60,283.68333333333334,24727500.0,23434605.0,9951,2929325.625,0.1184642857142857,701718.723241443,279676.51669000887,160171.80953684042,631526.7104916372,1773093.7599599296,0.0717053385890174,1156231.8650400704,0.0467589471252682
2023-07,SJC,HNL,838,61,331.1166666666667,25801475.0,24885432.0,10296,3110679.0,0.1205620608899297,819049.7546934816,319961.16462810105,186953.3717213095,648496.7056773392,1974460.9967202316,0.0765251210142145,1136218.0032797684,0.0440369398757151
2023-07,OAK,HNL,838,59,320.21666666666664,24872925.0,24236949.0,10061,3029618.625,0.1218038740920096,792087.5289135684,309434.1682832148,180799.07036198315,630924.3974434335,1913245.1650021996,0.0769207950010784,1116373.4599978004,0.0448830790909312
2023-07,SJC,OGG,838,63,334.03333333333336,25963875.0,24800505.0,10531,3100063.125,0.1193990929705215,826264.4175550793,323828.7204260457,188600.1648984993,666069.0139112449,2004762.3167908697,0.0772135252072685,1095300.8082091303,0.042185567763253
2023-07,OAK,OGG,838,60,318.21666666666664,24664500.0,23948055.0,10195,2993506.875,0.1213690476190476,787140.3315227586,308483.11546508817,179669.8407547673,640304.1048686692,1915597.392611283,0.0776661757834654,1077909.482388717,0.0437028718355821
2023-07,OGG,OAK,838,59,279.45,24253425.0,21674223.0,9227,2709277.875,0.1117070217917675,691247.1554308959,275427.9228180391,157781.60686823356,600922.9756793159,1725379.6607964844,0.071139629178002,983898.2142035156,0.0405673926137655
2023-07,LAS,OGG,838,57,347.78333333333336,26882625.0,23311750.0,8650,2913968.75,0.1083959899749373,860276.3996168965,330994.83119165053,196363.6184481082,571047.9261464553,1958682.7754031103,0.0728605474875727,955285.9745968896,0.0355354424873645
2023-07,LAS,HNL,838,57,355.98333333333335,27550950.0,22899742.0,8291,2862467.75,0.1038972431077694,880559.9089192166,337835.00812086824,200993.4598376931,558133.6450753303,1977522.0219531085,0.0717769086711386,884945.7280468915,0.0321203344366307
2023-07,HNL,PHX,838,31,184.28333333333333,15824725.0,15562195.0,5335,1945274.375,0.1229262672811059,455843.0129181973,175959.01809142856,104049.09805821309,333254.95788425405,1069106.086952093,0.0675592205837443,876168.288047907,0.0553670466973616
2023-07,OGG,PHX,838,31,177.31666666666666,15434125.0,15058585.0,5293,1882323.125,0.1219585253456221,438610.27534021,170147.64826132086,100115.61492641122,331744.09491771576,1040617.6334456578,0.0674231699850595,841705.4915543422,0.0545353553605625
2023-07,PHX,OGG,838,31,193.51666666666668,15434125.0,15098415.0,5307,1887301.875,0.1222811059907834,478682.5742057692,183661.16853611675,109262.37474485955,332247.7159065618,1103853.8333933074,0.0715203377835353,783448.0416066926,0.050760768207248
2023-07,PHX,HNL,838,31,197.18333333333337,15824725.0,15147981.0,5193,1893497.625,0.1196543778801843,487752.4360889205,186719.78423617344,111332.62902475528,328146.8021402436,1113951.6514900927,0.0703931127706859,779545.9735099073,0.0492612651094984
2023-07,KOA,LAS,838,31,170.88333333333333,14739725.0,14223495.0,5235,1777936.875,0.1206221198156682,422696.7903997718,164781.16798758498,96483.25968986691,329657.6651067819,1013618.8831840056,0.0687678286524345,764317.9918159944,0.0518542911632336
2023-07,LIH,LAX,838,31,165.66666666666666,14186375.0,13775820.0,5268,1721977.5,0.1213824884792626,409792.85053874296,160429.59201432252,93537.85246437891,330844.77172334766,994605.066740792,0.0701098812586578,727372.433259208,0.0512726072206048
